country,year,iso_code,population,gdp,biofuel_electricity,carbon_intensity_elec,coal_electricity,electricity_demand,electricity_generation,fossil_electricity,gas_electricity,greenhouse_gas_emissions,hydro_electricity,low_carbon_electricity,net_elec_imports_share_demand,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,per_capita_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_demand_generation_ratio,electricity_demand_generation_ratio_rating,per_capita_electricity_rating,nuclear_electricity_rating,net_elec_imports_share_demand_rating,risk_sum
Spain,2022,ESP,47558632.0,1625139970048.0,6.8,217.766,7.86,266.47,286.27,105.65,86.1,62.34,17.59,180.62,-7.43,58.59,11.69,6.82,0.02,6019.307,122.03,35.72,61.9,0.9308345268452861,0,1,3,3,7
Sri Lanka,2022,LKA,21832150.0,254748606464.0,0.22,509.781,7.06,17.38,17.38,10.94,0.0,8.86,5.11,6.44,0.0,0.0,3.88,0.22,0.0,796.074,6.44,0.68,0.43,1.0,0,1,1,0,2
Sudan,2022,SDN,46874200.0,,0.11,263.158,0.0,18.79,17.86,6.71,0.0,4.7,11.0,11.15,4.949,0.0,6.71,0.11,0.0,381.02,11.15,0.04,0.0,1.0520716685330347,5,1,1,0,7
Suriname,2022,SUR,618046.0,,0.01,349.282,0.0,2.09,2.09,1.08,0.02,0.73,0.99,1.01,0.0,0.0,1.06,0.01,0.0,3381.625,1.01,0.01,0.0,1.0,0,1,1,0,2
Sweden,2022,SWE,10549349.0,494214545408.0,13.1,41.067,0.01,139.91,173.13,2.91,0.15,7.11,69.87,170.22,-23.744,51.94,2.75,13.1,0.0,16411.439,118.28,1.98,33.33,0.8081210650955929,0,1,3,3,7
Switzerland,2022,CHE,8740471.0,559384952832.0,0.96,36.133,0.0,65.41,62.27,1.72,0.5,2.25,30.99,60.55,4.8,23.95,1.22,2.07,1.11,7124.33,36.6,3.37,0.17,1.050425566083186,5,1,3,0,9
Syria,2022,SYR,22125242.0,52353138688.0,0.03,701.661,0.0,16.51,16.86,16.08,9.09,11.83,0.75,0.78,-2.12,0.0,6.99,0.03,0.0,762.026,0.78,0.0,0.0,0.979240806642942,0,1,1,3,5
Taiwan,2022,TWN,23893396.0,1247874383872.0,1.99,639.528,123.69,288.15,288.15,242.35,114.12,184.28,5.84,45.8,0.0,23.75,4.54,1.983,,12059.817,22.05,10.68,3.54,1.0,0,1,3,0,4
Tajikistan,2022,TJK,9952789.0,50544009216.0,0.0,116.858,1.89,18.71,20.88,2.22,0.33,2.44,18.66,18.66,-11.598,0.0,0.0,0.0,0.0,2097.904,18.66,0.0,0.0,0.896072796934866,0,1,1,3,5
Tanzania,2022,TZA,65497752.0,198220414976.0,0.07,339.246,0.0,9.17,9.02,6.08,6.06,3.06,2.82,2.94,1.636,0.0,0.02,0.07,0.0,137.715,2.94,0.05,0.0,1.016629711751663,5,1,1,0,7
Thailand,2022,THA,71697024.0,1124143726592.0,13.56,560.743,35.52,212.55,180.35,151.89,114.64,101.13,6.6,28.46,15.149,0.0,1.73,13.862,,2515.446,28.46,4.88,3.42,1.1785417244247298,5,1,1,0,7
Togo,2022,TGO,8848700.0,14265659392.0,0.0,443.182,0.0,1.68,0.88,0.66,0.59,0.39,0.16,0.22,47.619,0.0,0.07,0.0,0.0,99.45,0.22,0.06,0.0,1.909090909090909,5,1,1,0,7
Tonga,2022,TON,106867.0,,0.0,625.0,0.0,0.08,0.08,0.07,0.0,0.05,0.0,0.01,0.0,0.0,0.07,0.0,0.0,748.594,0.01,0.01,0.0,1.0,0,1,1,0,2
Trinidad and Tobago,2022,TTO,1531043.0,37513383936.0,0.0,681.529,0.0,9.42,9.42,9.41,9.37,6.42,0.0,0.01,0.0,0.0,0.04,0.0,0.0,6152.668,0.01,0.01,0.0,1.0,0,1,1,0,2
Tunisia,2022,TUN,12356116.0,129457963008.0,0.0,564.623,0.0,23.77,21.2,20.55,20.52,11.97,0.01,0.65,10.812,0.0,0.03,0.0,0.0,1715.75,0.65,0.32,0.32,1.1212264150943396,5,1,1,0,7
Turkey,2022,TUR,85341248.0,2385996414976.0,7.62,459.103,113.62,323.29,320.56,186.21,71.86,147.17,66.66,134.35,0.844,0.0,0.73,17.84,10.22,3756.214,134.35,15.16,34.69,1.008516346393811,5,1,1,0,7
Turkmenistan,2022,TKM,6430777.0,97502945280.0,0.0,1306.025,0.0,19.87,23.07,23.06,23.06,30.13,0.01,0.01,-16.105,0.0,0.0,0.0,0.0,3587.436,0.01,0.0,0.0,0.8612917208495883,0,1,1,3,5
Turks and Caicos Islands,2022,TCA,45726.0,,0.0,653.846,0.0,0.26,0.26,0.26,0.0,0.17,0.0,0.0,0.0,0.0,0.26,0.0,0.0,5686.042,0.0,0.0,0.0,1.0,0,1,1,0,2
Uganda,2022,UGA,47249588.0,101995421696.0,0.39,44.527,0.0,5.08,5.39,0.06,0.0,0.24,4.81,5.33,-6.102,0.0,0.06,0.39,0.0,114.075,5.33,0.13,0.0,0.9424860853432283,0,1,1,3,5
Ukraine,2022,UKR,39701744.0,309166669824.0,0.5,259.693,24.79,111.83,112.71,32.5,7.22,29.27,11.1,80.21,-0.787,62.07,0.49,0.776,,2838.918,18.14,5.08,1.46,0.9921923520539437,0,1,3,3,7
United Arab Emirates,2022,ARE,9441138.0,779701518336.0,0.01,561.135,0.0,154.95,154.74,127.67,127.67,86.83,,27.07,0.136,20.1,0.0,0.013,,16389.973,6.97,6.96,0.0,1.0013571151609149,5,1,3,0,9
United Kingdom,2022,GBR,67508936.0,2615230595072.0,35.45,255.85,5.57,321.88,326.09,143.42,125.3,83.43,5.32,182.67,-1.308,47.72,12.55,35.831,,4830.323,134.95,13.92,80.26,0.9870894538317643,0,1,3,3,7
United States,2022,USA,338289856.0,19493170446336.0,51.85,385.98,831.51,4328.12,4286.91,2557.22,1687.07,1654.66,248.76,1729.69,0.952,771.54,38.64,70.01,18.16,12672.299,958.15,205.08,434.3,1.009612984643951,5,1,3,0,9
United States Virgin Islands,2022,VIR,99479.0,,0.0,632.353,0.0,0.68,0.68,0.66,0.0,0.43,0.0,0.02,0.0,0.0,0.66,0.0,0.0,6835.614,0.02,0.02,0.0,1.0,0,1,1,0,2
Uruguay,2022,URY,3422796.0,69066227712.0,2.84,112.648,0.0,13.08,15.18,1.37,0.0,1.71,5.69,13.81,-16.055,0.0,1.37,2.84,0.0,4434.971,13.81,0.5,4.78,0.8616600790513834,0,1,1,3,5
Uzbekistan,2022,UZB,34627648.0,393572450304.0,0.0,1167.603,2.22,78.35,74.76,69.78,66.08,87.29,4.97,4.98,4.582,0.0,1.48,0.0,0.0,2158.969,4.98,0.01,0.0,1.0480203317281966,5,1,1,0,7
Vanuatu,2022,VUT,326744.0,,0.0,571.429,0.0,0.07,0.07,0.06,0.0,0.04,0.0,0.01,0.0,0.0,0.06,0.0,0.0,214.235,0.01,0.01,0.0,1.0,0,1,1,0,2
Venezuela,2022,VEN,28301700.0,149682061312.0,0.0,185.802,0.0,84.66,84.66,18.88,13.25,15.73,65.68,65.78,0.0,0.0,5.63,0.0,0.0,2991.34,65.78,0.01,0.09,1.0,0,1,1,0,2
Vietnam,2022,VNM,98186856.0,833803845632.0,0.36,409.801,100.78,260.87,259.98,129.25,27.77,106.54,95.96,130.73,0.341,0.0,0.7,0.378,,2647.809,130.73,26.37,8.04,1.0034233402569428,5,1,1,0,7
Yemen,2022,YEM,33696612.0,60852994048.0,0.0,566.102,0.0,2.95,2.95,2.35,0.54,1.67,0.0,0.6,0.0,0.0,1.81,0.0,0.0,87.546,0.6,0.6,0.0,1.0,0,1,1,0,2
Zambia,2022,ZMB,20017670.0,68469604352.0,0.08,111.967,2.16,17.35,19.47,2.16,0.0,2.18,17.09,17.31,-12.219,0.0,0.0,0.08,0.0,972.641,17.31,0.14,0.0,0.891114535182332,0,1,1,3,5
Zimbabwe,2022,ZWE,16320539.0,25901586432.0,0.1,297.872,2.92,10.69,8.93,2.92,0.0,2.66,5.88,6.01,16.464,0.0,0.0,0.1,0.0,547.163,6.01,0.03,0.0,1.1970884658454648,5,1,1,0,7
